__time,PV
2022-04-24T04:00:00.000Z,11.42770333
2022-05-11T02:00:00.000Z,11.42749667
2022-05-03T02:00:00.000Z,11.42417111
2022-04-04T04:45:00.000Z,11.42375889
2022-04-28T02:30:00.000Z,11.41871111
2022-04-12T03:15:00.000Z,11.41050778
2022-05-10T03:00:00.000Z,11.40947222
2022-04-08T01:15:00.000Z,11.40682111
2022-04-28T02:45:00.000Z,11.38866556
2022-04-03T00:45:00.000Z,11.38727444
2022-05-01T03:30:00.000Z,11.38545444
2022-04-28T02:15:00.000Z,11.38445889
2022-05-02T03:15:00.000Z,11.38086111
2022-05-07T02:00:00.000Z,11.37645111
2022-05-10T02:15:00.000Z,11.37467889
2022-04-07T04:00:00.000Z,11.37438978
2022-05-08T01:45:00.000Z,11.36856778
2022-04-28T03:00:00.000Z,11.35616444
2022-04-12T00:15:00.000Z,11.35142111
2022-06-06T02:45:00.000Z,11.34978444
2022-05-09T01:45:00.000Z,11.33775889
2022-04-04T00:45:00.000Z,11.33422333
2022-04-23T04:15:00.000Z,11.32379889
2022-04-16T01:15:00.000Z,11.32322778
2022-05-07T03:30:00.000Z,11.31191111
2022-04-01T00:30:00.000Z,11.30797222
2022-04-16T04:15:00.000Z,11.29527778
2022-04-22T04:00:00.000Z,11.29269667
2022-05-03T03:30:00.000Z,11.29045
2022-05-19T03:15:00.000Z,11.28998444
2022-04-28T03:15:00.000Z,11.28125
2022-04-24T04:15:00.000Z,11.2749
2022-05-10T02:00:00.000Z,11.27392889
2022-04-28T02:00:00.000Z,11.27085
2022-05-16T02:45:00.000Z,11.26741889
2022-04-23T01:15:00.000Z,11.25973111
2022-04-30T02:00:00.000Z,11.24773356
2022-05-15T02:45:00.000Z,11.24702807
2022-04-15T04:30:00.000Z,11.24568472
2022-04-24T01:00:00.000Z,11.24496889
2022-05-01T01:30:00.000Z,11.23930444
2022-05-19T03:00:00.000Z,11.23083111
2022-04-17T03:45:00.000Z,11.22713778
2022-05-03T01:45:00.000Z,11.22154667
2022-04-09T00:45:00.000Z,11.21837333
2022-05-08T04:00:00.000Z,11.21472222
2022-05-10T03:15:00.000Z,11.21171444
2022-04-28T03:30:00.000Z,11.20891444
2022-05-19T02:45:00.000Z,11.20507222
2022-05-02T01:30:00.000Z,11.20101923
2022-05-11T03:30:00.000Z,11.19900556
2022-05-15T02:30:00.000Z,11.19506667
2022-05-10T01:45:00.000Z,11.19376667
2022-04-08T04:45:00.000Z,11.18953
2022-04-02T00:30:00.000Z,11.18920889
2022-04-28T01:45:00.000Z,11.18234889
2022-05-07T01:45:00.000Z,11.18071222
2022-05-05T04:00:00.000Z,11.17579444
2022-06-06T02:15:00.000Z,11.17518111
2022-04-09T04:30:00.000Z,11.17450222
2022-05-01T03:45:00.000Z,11.17312
2022-05-09T03:30:00.000Z,11.16968333
2022-05-12T02:45:00.000Z,11.16432444
2022-05-19T02:30:00.000Z,11.15851778
2022-04-06T05:00:00.000Z,11.15688667
2022-05-16T03:00:00.000Z,11.15212556
2022-05-08T01:30:00.000Z,11.15129667
2022-05-15T03:00:00.000Z,11.14496875
2022-05-15T02:15:00.000Z,11.14364778
2022-05-02T03:30:00.000Z,11.14184444
2022-05-09T01:30:00.000Z,11.13611111
2022-06-08T03:00:00.000Z,11.13602
2022-05-11T01:45:00.000Z,11.12877667
2022-04-08T00:45:00.000Z,11.12254889
2022-05-12T02:15:00.000Z,11.11900222
2022-05-06T01:30:00.000Z,11.11862
2022-05-12T02:30:00.000Z,11.11731667
2022-04-22T00:00:00.000Z,11.11609
2022-04-10T03:15:00.000Z,11.11142222
2022-05-12T03:15:00.000Z,11.10802222
2022-05-16T03:15:00.000Z,11.09939222
2022-03-31T00:15:00.000Z,11.09331444
2022-05-03T03:45:00.000Z,11.08258889
2022-05-19T02:15:00.000Z,11.07451111
2022-05-16T02:15:00.000Z,11.07402778
2022-04-19T03:45:00.000Z,11.05488556
2022-05-07T03:45:00.000Z,11.05241
2022-06-06T02:00:00.000Z,11.04959556
2022-05-10T03:30:00.000Z,11.04604222
2022-05-14T02:30:00.000Z,11.04314222
2022-05-11T03:45:00.000Z,11.04025111
2022-06-06T02:30:00.000Z,11.03909111
2022-04-21T03:15:00.000Z,11.03424
2022-05-15T03:15:00.000Z,11.02735526
2022-05-03T01:30:00.000Z,11.02664444
2022-05-12T03:00:00.000Z,11.02159667
2022-05-15T02:00:00.000Z,11.02092667
2022-05-21T03:00:00.000Z,11.01794
2022-04-07T05:00:00.000Z,11.01632222
2022-04-10T01:00:00.000Z,11.01445333
2022-06-08T04:00:00.000Z,11.01418
2022-04-28T03:45:00.000Z,11.00583111
2022-04-11T01:00:00.000Z,11.00504333
2022-05-20T02:30:00.000Z,10.99828111
2022-05-05T04:15:00.000Z,10.99350889
2022-06-02T02:30:00.000Z,10.98970778
2022-05-14T02:00:00.000Z,10.98521778
2022-03-29T05:00:00.000Z,10.98261333
2022-05-16T01:45:00.000Z,10.97704
2022-05-10T01:30:00.000Z,10.97669111
2022-04-19T00:45:00.000Z,10.97547889
2022-05-20T02:45:00.000Z,10.96360667
2022-04-16T01:00:00.000Z,10.96306222
2022-04-23T01:00:00.000Z,10.96063
2022-04-16T04:30:00.000Z,10.95469
2022-03-31T05:15:00.000Z,10.95404889
2022-05-12T03:30:00.000Z,10.94774889
2022-05-17T03:00:00.000Z,10.94743667
2022-05-21T03:15:00.000Z,10.94588222
2022-05-08T01:15:00.000Z,10.94394111
2022-05-25T03:15:00.000Z,10.94147333
2022-05-20T02:15:00.000Z,10.94003222
2022-04-11T04:30:00.000Z,10.93715
2022-06-03T03:00:00.000Z,10.93596
2022-05-16T03:30:00.000Z,10.92871667
2022-05-21T02:45:00.000Z,10.92467222
2022-05-03T04:00:00.000Z,10.9242
2022-04-04T05:00:00.000Z,10.92412333
2022-04-27T01:30:00.000Z,10.92234333
2022-05-17T02:45:00.000Z,10.92156556
2022-05-19T02:00:00.000Z,10.92009667
2022-04-03T05:00:00.000Z,10.91935944
2022-05-20T03:00:00.000Z,10.91727778
2022-04-06T00:30:00.000Z,10.91663889
2022-04-21T04:15:00.000Z,10.91332778
2022-05-02T01:15:00.000Z,10.91039111
2022-05-17T03:15:00.000Z,10.90845444
2022-05-09T03:45:00.000Z,10.90770778
2022-05-09T01:15:00.000Z,10.90443556
2022-04-24T00:45:00.000Z,10.90232111
2022-05-02T03:45:00.000Z,10.90009889
